路線,駅番号,事業者,駅名,駅名よみ,駅間キロ,営業キロ,所在地住所,所在地緯度,所在地経度
東山線,H01,1,高畑,たかばた,-,0,名古屋市中川区高畑三丁目151,北緯35度8分22秒,東経136度51分12.7秒
東山線,H02,1,八田,はった,0.9,0.9,名古屋市中村区八田町字長田,北緯35度8分56秒,東経136度51分8秒
東山線,H03,1,岩塚,いわつか,1.1,2,名古屋市中村区岩塚町字向田37-1,北緯35度9分29秒,東経136度51分16秒
東山線,H04,1,中村公園,なかむらこうえん,1.1,3.1,名古屋市中村区豊国通一丁目3,北緯35度10分4.2秒,東経136度51分18.5秒
東山線,H05,1,中村日赤,なかむらにっせき,0.8,3.9,名古屋市中村区道下町三丁目35,北緯35度10分20.5秒,東経136度51分43秒
東山線,H06,1,本陣,ほんじん,0.7,4.6,名古屋市中村区鳥居通二丁目36,北緯35度10分38秒,東経136度52分1秒
東山線,H07,1,亀島,かめじま,0.9,5.5,名古屋市中村区亀島一丁目2-2,北緯35度10分39秒,東経136度52分37秒
東山線,H08,1,名古屋,なごや,1.1,6.6,名古屋市中村区名駅一丁目1-4,北緯35度10分14.498秒,東経136度52分53.893秒
東山線,H09,1,伏見,ふしみ,1.4,8,名古屋市中区錦二丁目16-24,北緯35度10分9秒,東経136度53分51秒
東山線,H10,1,栄,さかえ,1,9,名古屋市中区栄三丁目5-12,北緯35度10分11秒,東経136度54分31秒
東山線,H11,1,新栄町,しんさかえ,1.1,10.1,名古屋市東区葵一丁目19-23,北緯35度10分15秒,東経136度55分12秒
東山線,H12,1,千種,ちくさ,0.9,11,名古屋市千種区内山三丁目24-8,北緯35度10分12.6秒,東経136度55分50.3秒
東山線,H13,1,今池,いまいけ,0.7,11.7,名古屋市千種区今池五丁目1,北緯35度10分11.5秒,東経136度56分14秒
東山線,H14,1,池下,いけした,0.9,12.6,名古屋市千種区覚王山通7丁目11,北緯35度10分4.5秒,東経136度56分46秒
東山線,H15,1,覚王山,かくおうざん,0.6,13.2,名古屋市千種区末盛通1丁目7,北緯35度9分59.5秒,東経136度57分11秒
東山線,H16,1,本山,もとやま,1,14.2,名古屋市千種区四谷通一丁目18-1,北緯35度9分50秒,東経136度57分49秒
東山線,H17,1,東山公園,ひがしやまこうえん,0.9,15.1,名古屋市千種区東山通五丁目1,北緯35度9分38秒,東経136度58分23秒
東山線,H18,1,星ヶ丘,ほしがおか,1.1,16.2,名古屋市千種区井上町85-1,北緯35度9分44秒,東経136度59分6秒
東山線,H19,1,一社,いっしゃ,1.3,17.5,名古屋市名東区一社二丁目1,北緯35度10分6秒,東経136度59分46秒
東山線,H20,1,上社,かみやしろ,1.1,18.6,名古屋市名東区上社一丁目803,北緯35度10分25秒,東経137度0分24秒
東山線,H21,1,本郷,ほんごう,0.7,19.3,名古屋市名東区本郷二丁目153,北緯35度10分31秒,東経137度0分49秒
東山線,H22,1,藤が丘,ふじがおか,1.3,20.6,名古屋市名東区藤が丘163,北緯35度10分57秒,東経137度1分17秒
名城線,M01,1,金山,かなやま,-,0,名古屋市熱田区金山町一丁目1番18号,北緯35度8分35秒,東経136度54分3秒
名城線,M02,1,東別院,ひがしべついん,0.7,0.7,名古屋市中区大井町3-24,北緯35度9分1秒,東経136度54分17秒
名城線,M03,1,上前津,かみまえづ,0.9,1.6,名古屋市中区大須四丁目11-15,北緯35度9分26秒,東経136度54分24秒
名城線,M04,1,矢場町,やばちょう,0.7,2.3,名古屋市中区栄三丁目31-13,北緯35度9分49秒,東経136度54分32秒
名城線,M05,1,栄,,0.7,3
名城線,M06,1,久屋大通,ひさやおおどおり,0.4,3.4,名古屋市中区錦三丁目48,北緯35度10分25秒,東経136度54分30秒
名城線,M07,1,名古屋城,なごやじょう,0.9,4.3,名古屋市中区三の丸三丁目1番1号,北緯35度10分54秒,東経136度54分19秒
名城線,M08,1,名城公園,めいじょうこうえん,1.1,5.4,名古屋市北区名城二丁目1-26,北緯35度11分26秒,東経136度54分17秒
名城線,M09,1,黒川,くろかわ,1,6.4,名古屋市北区城見通3丁目13,北緯35度11分50秒,東経136度54分37秒
名城線,M10,1,志賀本通,しがほんどおり,1,7.4,名古屋市北区志賀本通二丁目47,北緯35度11分47秒,東経136度55分16秒
名城線,M11,1,平安通,へいあんどおり,0.8,8.2,名古屋市北区平安通一丁目15,北緯35度11分45秒,東経136度55分47秒
名城線,M12,1,大曽根,おおぞね,0.7,8.9,名古屋市東区東大曽根町46-6,北緯35度11分24.41秒,東経136度56分13.79秒
名城線,M13,1,ナゴヤドーム前矢田,ナゴヤドームまえやだ,0.8,9.7,名古屋市東区矢田東1,北緯35度11分27秒,東経136度56分40秒
名城線,M14,1,砂田橋,すなだばし,0.9,10.6,名古屋市東区大幸四丁目16,北緯35度11分20秒,東経136度57分14.6秒
名城線,M15,1,茶屋ヶ坂,ちゃやがさか,0.9,11.5,名古屋市千種区茶屋が坂一丁目2116,北緯35度11分4.8秒,東経136度57分44秒
名城線,M16,1,自由ヶ丘,じゆうがおか,1.2,12.7,名古屋市千種区自由ケ丘三丁目11,北緯35度10分31.7秒,東経136度58分0.2秒
名城線,M17,1,本山,,1.4,14.1,
名城線,M18,1,名古屋大学,なごやだいがく,1,15.1,名古屋市千種区四谷通20,北緯35度9分16.7秒,東経136度58分0.4秒
名城線,M19,1,八事日赤,やごとにっせき,1.1,16.2,名古屋市昭和区山手通三丁目17,北緯35度8分41秒,東経136度57分53.6秒
名城線,M20,1,八事,やごと,1,17.2,名古屋市昭和区広路町字北石坂102,北緯35度8分12秒,東経136度57分51秒
名城線,M21,1,総合リハビリセンター,そうごうりはびりせんたー,1.3,18.5,名古屋市瑞穂区彌富町字月見ケ岡5,北緯35度7分50秒,東経136度57分16.4秒
名城線,M22,1,瑞穂運動場東,みずほうんどうじょうひがし,1,19.5,名古屋市瑞穂区八勝通三丁目18,北緯35度7分22秒,東経136度56分54.2秒
名城線,M23,1,新瑞橋,あらたまばし,1.2,20.7,名古屋市瑞穂区洲山町二丁目23,北緯35度7分4秒,東経136度56分12秒
